Date,Open,High,Low,Close,Adj Close,Volume
2011-04-18,19.009615,20.000000,18.759615,19.182692,14.446486,316544400
2011-04-25,19.365385,20.048077,19.125000,19.663462,14.808551,291394100
2011-05-02,19.903847,19.913462,19.048077,19.240385,14.489936,244402500
2011-05-09,19.201923,19.634615,19.000000,19.125000,14.403038,203208500
2011-05-16,19.086538,19.278847,18.663462,18.865385,14.207523,236904200
2011-05-23,18.576923,18.826923,18.240385,18.692308,14.077184,207567900
2011-05-30,18.923077,18.961538,18.028847,18.096153,13.628218,215853700
2011-06-06,17.990385,18.076923,17.442308,17.615385,13.266148,271237100
2011-06-13,17.605770,18.028847,17.500000,17.778847,13.389253,272278200
2011-06-20,17.634615,18.211538,17.278847,17.278847,13.124031,307780600
2011-06-27,17.317308,18.519230,17.307692,18.461538,14.022333,233832700
2011-07-04,18.480770,18.701923,18.125000,18.259615,13.868964,180032600
2011-07-11,18.000000,18.105770,17.586538,17.701923,13.445373,254942500
2011-07-18,17.625000,18.778847,17.461538,18.307692,13.905480,294409900
2011-07-25,18.240385,18.403847,17.096153,17.221153,13.080213,321515800
2011-08-01,17.682692,17.711538,15.480769,15.875000,12.057747,524739600
2011-08-08,15.067307,15.509615,14.250000,15.269231,11.597642,742041300
2011-08-15,15.548077,15.903846,14.451923,14.509615,11.020679,388439600
2011-08-22,14.951923,15.432693,14.471154,14.942307,11.349325,348544800
2011-08-29,15.182693,15.855769,14.951923,15.153846,11.509998,293435900
2011-09-05,14.663462,15.240385,14.423077,14.509615,11.020679,436870500
2011-09-12,14.432693,15.769231,14.153846,15.701923,11.926291,521008700
2011-09-19,15.365385,15.817307,14.250000,14.625000,11.219158,378520100
2011-09-26,14.807693,15.451923,14.490385,14.634615,11.226535,382895000
2011-10-03,14.519231,15.134615,13.480769,14.903846,11.433068,431340800
2011-10-10,15.182693,16.009615,15.153846,15.961538,12.244448,265451000
2011-10-17,15.855769,16.326923,15.509615,15.682693,12.030540,346368700
2011-10-24,15.740385,16.826923,15.432693,16.586538,12.723897,399627600
2011-10-31,16.326923,16.355770,15.355769,15.759615,12.089546,295752700
2011-11-07,15.740385,15.855769,15.144231,15.673077,12.023160,294568100
2011-11-14,15.596154,15.692307,14.903846,15.048077,11.543711,257067000
2011-11-21,14.884615,14.894231,14.134615,14.134615,10.842973,241601300
2011-11-28,14.644231,15.673077,14.115385,15.471154,11.868261,398685200
2011-12-05,15.721154,16.326923,15.557693,16.192308,12.421475,390396400
2011-12-12,16.067308,16.432692,15.673077,16.355770,12.546871,520288600
2011-12-19,16.317308,17.576923,16.144230,17.528847,13.446765,364810800
2011-12-26,17.480770,17.500000,17.038462,17.221153,13.344092,162453100
